person,admit,role,top100u,comp-rel-maj,worked-it-consult,worked-in-house,mbti.e,mbti.n,mbti.t,mbti.j,MBTI
1004,1,PM,1,1,0,0,1,0,0,0,ESFP
1005,1,PM,1,1,1,1,1,1,0,1,ENFJ
1006,1,PM,1,1,1,1,0,0,1,0,ISTP
1007,1,PM,1,1,1,0,1,1,0,1,ENFJ
1008,1,PM,0,1,0,0,1,1,1,1,ENTJ
1009,1,PM,1,1,1,1,0,1,1,1,INTJ
1010,1,PM,1,1,1,0,0,1,0,1,INFJ
1011,1,PM,1,1,1,1,0,1,1,0,INTP
1012,1,PM,1,0,1,1,0,1,1,1,INTJ
1013,1,PM,0,1,1,1,0,1,1,1,INTJ
1014,1,PM,1,1,1,1,0,1,0,0,INFP
1015,1,PM,0,1,0,1,0,1,0,0,INFP
1016,1,PM,1,0,0,0,1,0,1,1,ESTJ
1017,1,PM,1,1,0,1,0,0,1,0,ISTP
1018,1,PM,0,1,0,0,1,0,1,1,ESTJ
1019,1,PM,0,0,1,1,1,0,0,1,ESFJ
1020,1,PM,1,0,1,1,1,1,1,1,ENTJ
1021,1,PM,0,1,1,1,1,1,0,0,ENFP
1022,1,PM,1,1,1,1,0,0,0,1,ISFJ
1023,1,PM,1,1,0,0,0,0,0,1,ISFJ
1024,1,PM,1,1,0,1,0,0,0,0,ISFP
1025,1,PM,0,1,0,0,0,1,0,0,INFP
1026,0,PM,1,1,1,0,0,0,1,0,ISTP
1027,0,PM,0,0,0,1,0,1,0,0,INFP
1028,0,PM,1,1,1,1,1,0,0,1,ESFJ
1029,0,PM,0,1,0,1,0,1,0,0,INFP
1030,0,PM,0,1,0,1,0,1,0,0,INFP
1031,0,PM,0,1,0,1,1,0,1,1,ESTJ
1032,0,PM,0,1,1,0,0,0,0,1,ISFJ
1033,0,PM,0,1,0,0,0,0,1,1,ISTJ
1034,0,PM,0,1,0,0,0,0,0,1,ISFJ
1035,0,PM,1,0,0,1,1,0,1,1,ESTJ
1036,0,PM,0,0,1,0,1,0,1,0,ESTP
1037,0,PM,0,1,1,1,0,1,1,1,INTJ
1038,0,PM,0,0,1,0,0,0,1,0,ISTP
1039,0,PM,0,1,0,1,1,1,0,0,ENFP
1040,0,PM,0,0,1,1,1,0,1,1,ESTJ
1041,0,PM,1,1,0,0,0,0,1,1,ISTJ
1042,0,PM,1,1,1,0,0,0,0,1,ISFJ
1043,0,PM,0,0,0,1,0,1,1,1,INTJ
1044,0,PM,0,1,0,0,1,0,1,1,ESTJ
1045,0,PM,0,0,0,1,0,1,1,0,INTP
1046,0,PM,1,0,0,1,1,0,0,1,ESFJ
1047,0,PM,0,1,0,1,1,0,1,0,ESTP
1048,0,PM,0,0,0,1,1,0,0,0,ESFP
1049,0,PM,1,1,0,0,0,1,0,0,INFP
1050,0,PM,0,1,0,1,1,0,0,1,ESFJ
1051,0,PM,0,1,1,0,0,0,1,1,ISTJ
1052,0,PM,0,1,0,0,1,0,0,1,ESFJ
1053,0,PM,0,1,0,1,1,0,0,0,ESFP
1054,0,PM,1,1,0,1,0,1,1,0,INTP
1055,0,PM,0,1,0,1,0,0,0,0,ISFP
1056,0,PM,1,1,0,1,1,0,0,1,ESFJ
1057,0,PM,1,1,0,0,1,0,0,1,ESFJ
1058,0,PM,0,1,0,1,0,0,0,1,ISFJ
1059,0,PM,1,1,0,0,1,0,1,0,ESTP
1060,0,PM,0,1,0,0,1,0,0,1,ESFJ
1061,0,PM,1,1,0,1,1,1,0,0,ENFP
1062,0,PM,0,0,0,1,0,0,1,1,ISTJ
1063,0,PM,1,1,1,1,0,0,0,0,ISFP
1064,0,PM,1,1,1,0,1,0,0,0,ESFP
1065,0,PM,0,1,0,1,1,0,0,1,ESFJ
1066,0,PM,1,1,0,1,0,1,0,0,INFP
1067,0,PM,1,0,0,1,0,0,1,0,ISTP
1068,0,PM,0,1,0,1,0,1,0,0,INFP
1069,0,PM,0,1,0,1,0,1,0,0,INFP
1070,0,PM,1,1,0,0,0,0,1,0,ISTP
1071,0,PM,0,1,0,0,1,0,1,0,ESTP
1072,0,PM,0,0,0,1,0,0,0,1,ISFJ
1073,0,PM,1,1,0,1,1,1,1,0,ENTP
1074,0,PM,0,0,0,1,1,0,0,0,ESFP
1075,0,PM,0,1,0,1,1,1,1,0,ENTP
1076,0,PM,0,0,0,1,0,0,1,1,ISTJ
1077,0,PM,0,0,0,1,0,0,0,1,ISFJ
1078,0,PM,0,1,0,1,1,1,0,0,ENFP
1079,0,PM,1,0,0,1,0,0,1,1,ISTJ
1080,0,PM,0,1,0,0,0,1,1,0,INTP
1081,0,PM,1,1,1,0,0,0,1,1,ISTJ
1082,0,PM,0,1,1,1,1,0,0,1,ESFJ
1083,0,PM,0,1,0,0,1,1,0,1,ENFJ
1084,0,PM,0,1,1,1,0,0,1,1,ISTJ
1085,0,PM,0,0,0,0,1,0,0,1,ESFJ
1086,0,PM,1,0,1,0,1,0,1,1,ESTJ
1087,0,PM,1,0,0,1,0,0,1,1,ISTJ
1088,0,PM,0,1,1,1,1,0,0,0,ESFP
1089,0,PM,0,1,0,1,1,0,0,1,ESFJ
1090,0,PM,0,1,0,0,1,0,1,1,ESTJ
1091,0,PM,0,1,0,1,1,0,0,0,ESFP
1104,1,Dev,0,1,0,0,0,0,1,1,ISTJ
1105,1,Dev,0,1,0,0,0,1,0,1,INFJ
1106,1,Dev,0,1,0,0,1,0,1,1,ESTJ
1107,1,Dev,0,0,0,1,1,0,0,1,ESFJ
1108,1,Dev,0,1,0,1,1,0,1,1,ESTJ
1109,1,Dev,0,1,0,1,0,1,1,0,INTP
1110,1,Dev,0,1,0,0,1,0,0,0,ESFP
1111,1,Dev,0,1,0,0,0,1,1,0,INTP
1112,1,Dev,0,1,0,1,0,1,1,1,INTJ
1113,1,Dev,0,1,1,0,0,0,1,1,ISTJ
1114,1,Dev,0,1,0,1,0,0,1,1,ISTJ
1115,1,Dev,0,0,0,0,1,0,1,0,ESTP
1116,1,Dev,0,1,1,1,1,0,1,0,ESTP
1117,1,Dev,0,1,1,0,1,0,1,1,ESTJ
1118,1,Dev,0,1,0,0,0,1,1,0,INTP
1119,1,Dev,0,1,1,1,0,0,1,1,ISTJ
1120,1,Dev,0,1,0,1,0,1,1,0,INTP
1121,1,Dev,0,1,0,0,1,1,1,1,ENTJ
1122,1,Dev,0,1,0,0,0,1,0,0,INFP
1123,1,Dev,0,0,1,1,1,0,1,1,ESTJ
1124,1,Dev,0,0,0,1,0,0,1,1,ISTJ
1125,1,Dev,0,1,0,1,0,1,1,0,INTP
1126,0,Dev,0,1,1,1,1,1,0,1,ENFJ
1127,0,Dev,0,0,0,1,1,0,0,1,ESFJ
1128,0,Dev,1,0,0,0,1,0,0,1,ESFJ
1129,0,Dev,1,1,0,1,0,0,0,0,ISFP
1130,0,Dev,1,1,0,1,1,0,1,1,ESTJ
1131,0,Dev,0,0,1,1,1,0,0,0,ESFP
1132,0,Dev,1,1,0,1,1,0,0,1,ESFJ
1133,0,Dev,0,1,0,0,1,0,0,1,ESFJ
1134,0,Dev,0,0,1,1,1,0,1,1,ESTJ
1135,0,Dev,0,1,0,1,1,0,0,1,ESFJ
1136,0,Dev,0,1,0,1,1,0,0,1,ESFJ
1137,0,Dev,1,1,1,1,0,0,1,1,ISTJ
1138,0,Dev,0,1,0,0,1,0,0,1,ESFJ
1139,0,Dev,0,0,0,1,0,0,1,1,ISTJ
1140,0,Dev,0,1,0,0,0,0,0,0,ISFP
1141,0,Dev,1,1,0,0,1,0,0,0,ESFP
1142,0,Dev,0,0,0,1,0,0,1,1,ISTJ
1143,0,Dev,0,0,0,1,1,0,1,1,ESTJ
1144,0,Dev,1,1,0,1,1,0,0,1,ESFJ
1145,0,Dev,0,1,0,1,0,0,1,1,ISTJ
1146,0,Dev,0,1,0,0,0,0,0,1,ISFJ
1147,0,Dev,1,1,1,1,1,0,0,1,ESFJ
1148,0,Dev,0,1,0,1,0,0,0,1,ISFJ
1149,0,Dev,1,1,1,1,1,0,1,0,ESTP
1150,0,Dev,0,1,0,1,1,1,0,0,ENFP
1151,0,Dev,0,0,0,1,0,0,0,0,ISFP
1152,0,Dev,0,1,0,1,1,0,1,0,ESTP
1153,0,Dev,0,1,1,1,0,0,0,1,ISFJ
1154,0,Dev,1,1,0,1,1,0,1,0,ESTP
1155,0,Dev,1,1,0,1,0,0,0,1,ISFJ
1156,0,Dev,0,1,1,0,1,0,0,0,ESFP
1157,0,Dev,1,1,0,1,0,0,1,1,ISTJ
1158,0,Dev,0,1,1,1,1,0,0,1,ESFJ
1159,0,Dev,0,1,0,1,0,0,1,0,ISTP
1160,0,Dev,1,0,0,1,1,0,0,1,ESFJ
1161,0,Dev,0,1,0,1,1,0,0,1,ESFJ
1162,0,Dev,0,1,0,1,0,1,0,0,INFP
