person,admit,role,top100u,comp-rel-maj,worked-it-consult,worked-in-house,mbti.e,mbti.n,mbti.t,mbti.j,MBTI
2004,1,PM,1,1,0,1,0,1,1,0,INTP
2005,1,PM,1,0,0,1,1,0,0,0,ESFP
2006,1,PM,0,1,0,1,1,1,1,0,ENTP
2007,1,PM,0,1,0,1,1,1,1,1,ENTJ
2008,1,PM,0,1,0,1,1,0,1,1,ESTJ
2009,1,PM,0,1,0,1,0,1,1,1,INTJ
2010,1,PM,0,1,0,1,0,1,1,1,INTJ
2011,1,PM,0,1,0,1,1,1,1,0,ENTP
2012,1,PM,1,1,1,0,0,1,0,1,INFJ
2013,1,PM,1,1,0,1,1,1,1,0,ENTP
2014,1,PM,0,1,0,0,0,0,1,1,ISTJ
2015,1,PM,1,1,1,0,1,1,1,0,ENTP
2016,1,PM,0,1,0,1,0,1,0,1,INFJ
2017,1,PM,1,0,0,1,0,1,1,1,INTJ
2018,1,PM,1,0,1,1,0,1,1,1,INTJ
2019,1,PM,1,1,0,1,1,1,1,0,ENTP
2020,1,PM,0,1,1,0,1,0,0,1,ESFJ
2021,1,PM,0,1,0,1,0,0,1,1,ISTJ
2022,1,PM,1,1,1,1,1,0,0,0,ESFP
2023,1,PM,0,1,0,1,1,1,0,0,ENFP
2024,1,PM,1,1,0,1,0,1,0,1,INFJ
2025,1,PM,1,1,0,0,0,0,1,1,ISTJ
2026,0,PM,1,1,0,1,0,1,1,1,INTJ
2027,0,PM,0,1,0,0,1,0,0,1,ESFJ
2028,0,PM,0,0,1,1,1,1,0,0,ENFP
2029,0,PM,0,1,0,1,1,0,1,1,ESTJ
2030,0,PM,1,0,0,1,0,0,1,1,ISTJ
2031,0,PM,0,0,0,1,1,1,0,0,ENFP
2032,0,PM,1,1,1,0,1,1,0,0,ENFP
2033,0,PM,1,1,0,0,1,0,0,0,ESFP
2034,0,PM,0,1,0,0,0,1,0,1,INFJ
2035,0,PM,1,1,0,1,1,0,0,0,ESFP
2036,0,PM,0,1,0,0,1,0,1,1,ESTJ
2037,0,PM,0,1,0,1,1,0,0,1,ESFJ
2038,0,PM,1,0,0,1,0,0,0,1,ISFJ
2039,0,PM,0,1,0,1,0,1,0,0,INFP
2040,0,PM,1,1,0,1,0,1,1,0,INTP
2041,0,PM,0,0,0,0,0,0,0,0,ISFP
2042,0,PM,0,0,1,1,0,0,1,0,ISTP
2043,0,PM,1,1,0,1,0,1,1,0,INTP
2044,0,PM,0,0,0,1,0,0,0,1,ISFJ
2045,0,PM,0,1,0,1,1,1,0,0,ENFP
2046,0,PM,0,1,0,1,0,0,0,0,ISFP
2047,0,PM,0,0,0,0,1,1,0,0,ENFP
2048,0,PM,0,1,0,1,1,1,1,0,ENTP
2049,0,PM,0,1,0,1,0,0,1,0,ISTP
2050,0,PM,0,1,0,0,1,0,1,1,ESTJ
